Placename,Type,CoordinatesFILLTHIS,Latitude,Longitude,Description,Stars1_5,Notes
Idrætshøjskolen Sønderborg,Højskole,"54.89850290524686,9.802975583761512",54.89850291,9.802975584,Cultural institution ,,
Mariagerfjord,vandre rute,"56.6537809,9.9",,,,,
Christiansø,Small island,"55.32003, 15.18822",55.32003,15.18822,Is this even Denmark!? Beautiful and cozy island in the baltic sea,,
Horsens Statsfængsel,Museum,"55.8742788,9.8339118,17",55.8742788,9.8339118,An exciting place to work ,,
Hanklit,Cliff,"56.895799,8.751468",,,"Very breathtaking cliff, tall by Danish standards. My mom's neighbor's dog fell down it and still survived<3",,
Bønnerup strand,nature,"56.528472, 10.7109089",56.528472,10.7109089,also very nice beach yay ,,
Hacky Hours,fun,"56.1716699,10.2023809",56.1716699,10.2023809,best place on earth,,
Tunø,nature,"55.948069,10.4325322",55.948069,10.4325322,Best island in Denmark,,
,,,,,,,
Restaurant Shangrilla,Restaurant,"55.7091118,9.5254014",55.7091118,9.5254014,Good asian buffet,,
Moesgaard museum,Museum,"56.0887316,10.2208236,463",56.0887316,10.2208236,Everyones favorite museum,,
Kongens kær,Lake,"55.7027087,9.4988122,467",55.7027087,9.4988122,Beautiful lake,,
Legoland,Amusement Park,"55.734848, 9.130747
",55.734848,9.130747,I love Lego!,,
